action,group,enabler,proxy_indicators,proxy_axis,proxy_grade,provenance_class,rationale
FORESIGHT,Detection,Inter-disciplinary expertise,,,UNPROXIED,analyst-coded crosswalk,No indicator measures cross-domain (AI with bio / cyber / forensics) staffing; reported as un-proxied rather than approximated.
FORESIGHT,Detection,Technical talent,C1_notable_models;C2_training_compute;C3_ai_publications,,partial,analyst-coded crosswalk,"No indicator counts AI headcount; domestic model, compute and publication output is the standard revealed-output proxy for technical talent."
FORESIGHT,Detection,Inter-governmental networks,C5_aisi_presence;G5_igsc_membership;G6_australia_group,,direct,analyst-coded crosswalk,"AISI International Network, IGSC and the Australia Group are the multilateral / inter-governmental memberships the paper names."
MONITORING,Detection,Intra-governmental coordination,,,UNPROXIED,analyst-coded crosswalk,No indicator measures within-government inter-agency coordination quality; reported as un-proxied rather than approximated from cyber-institutional scores.
MONITORING,Detection,Supporting Infrastructure,,infrastructure_posture,axis-level,analyst-coded crosswalk,"This enabler is the infrastructure axis itself (ICT development, broadband, secure servers, resilience); scored from the literature-scheme infrastructure-axis z-score."
MONITORING,Detection,Technical talent,C1_notable_models;C2_training_compute;C3_ai_publications,,partial,analyst-coded crosswalk,"No indicator counts AI headcount; domestic model, compute and publication output is the standard revealed-output proxy for technical talent."
VERIFICATION,Detection,Technical talent,C1_notable_models;C2_training_compute;C3_ai_publications,,partial,analyst-coded crosswalk,"No indicator counts AI headcount; domestic model, compute and publication output is the standard revealed-output proxy for technical talent."
VERIFICATION,Detection,Public-private partnerships,G5_igsc_membership,,partial,analyst-coded crosswalk,"IGSC member-firm presence is the only public-private-partnership signal in the indicator set; single-indicator, hence partial."
VERIFICATION,Detection,Supporting Infrastructure,,infrastructure_posture,axis-level,analyst-coded crosswalk,"This enabler is the infrastructure axis itself (ICT development, broadband, secure servers, resilience); scored from the literature-scheme infrastructure-axis z-score."
SEVERITY_SCHEMA,Escalation,Technical talent,C1_notable_models;C2_training_compute;C3_ai_publications,,partial,analyst-coded crosswalk,"No indicator counts AI headcount; domestic model, compute and publication output is the standard revealed-output proxy for technical talent."
SEVERITY_SCHEMA,Escalation,Research Output,C3_ai_publications;C4_ai_patents,,direct,analyst-coded crosswalk,AI publications and patents are direct measures of national research output.
SEVERITY_SCHEMA,Escalation,Inter-disciplinary expertise,,,UNPROXIED,analyst-coded crosswalk,No indicator measures cross-domain (AI with bio / cyber / forensics) staffing; reported as un-proxied rather than approximated.
MANDATORY_REPORTING,Escalation,Institutional Architecture,C5_aisi_presence;G1_ai_strategy;G2_global_cybersec_index,,direct,analyst-coded crosswalk,"AISI-equivalent body, national AI-strategy comprehensiveness and ITU cyber-institutional maturity are direct institutional-architecture measures."
MANDATORY_REPORTING,Escalation,Net Importer/Developer status,C1_notable_models;C2_training_compute;C4_ai_patents,,partial,analyst-coded crosswalk,"Developer-vs-importer position is proxied by domestic frontier-model, training-compute and patent production; partial because bilateral AI-infrastructure trade data is absent."
MANDATORY_REPORTING,Escalation,Supporting Infrastructure,,infrastructure_posture,axis-level,analyst-coded crosswalk,"This enabler is the infrastructure axis itself (ICT development, broadband, secure servers, resilience); scored from the literature-scheme infrastructure-axis z-score."
CROSS_SECTORAL_PATHWAYS,Escalation,Technical talent,C1_notable_models;C2_training_compute;C3_ai_publications,,partial,analyst-coded crosswalk,"No indicator counts AI headcount; domestic model, compute and publication output is the standard revealed-output proxy for technical talent."
CROSS_SECTORAL_PATHWAYS,Escalation,Inter-disciplinary expertise,,,UNPROXIED,analyst-coded crosswalk,No indicator measures cross-domain (AI with bio / cyber / forensics) staffing; reported as un-proxied rather than approximated.
CROSS_SECTORAL_PATHWAYS,Escalation,Institutional Architecture,C5_aisi_presence;G1_ai_strategy;G2_global_cybersec_index,,direct,analyst-coded crosswalk,"AISI-equivalent body, national AI-strategy comprehensiveness and ITU cyber-institutional maturity are direct institutional-architecture measures."
EMERGENCY_CHANNELS,Mitigation & Containment,Inter-disciplinary expertise,,,UNPROXIED,analyst-coded crosswalk,No indicator measures cross-domain (AI with bio / cyber / forensics) staffing; reported as un-proxied rather than approximated.
EMERGENCY_CHANNELS,Mitigation & Containment,Public-private partnerships,G5_igsc_membership,,partial,analyst-coded crosswalk,"IGSC member-firm presence is the only public-private-partnership signal in the indicator set; single-indicator, hence partial."
EMERGENCY_CHANNELS,Mitigation & Containment,Institutional Architecture,C5_aisi_presence;G1_ai_strategy;G2_global_cybersec_index,,direct,analyst-coded crosswalk,"AISI-equivalent body, national AI-strategy comprehensiveness and ITU cyber-institutional maturity are direct institutional-architecture measures."
DEFENSIVE_CAPABILITIES,Mitigation & Containment,Technical talent,C1_notable_models;C2_training_compute;C3_ai_publications,,partial,analyst-coded crosswalk,"No indicator counts AI headcount; domestic model, compute and publication output is the standard revealed-output proxy for technical talent."
DEFENSIVE_CAPABILITIES,Mitigation & Containment,Research Output,C3_ai_publications;C4_ai_patents,,direct,analyst-coded crosswalk,AI publications and patents are direct measures of national research output.
DEFENSIVE_CAPABILITIES,Mitigation & Containment,Public-private partnerships,G5_igsc_membership,,partial,analyst-coded crosswalk,"IGSC member-firm presence is the only public-private-partnership signal in the indicator set; single-indicator, hence partial."
